MPDMAT00,"nonclustered, unique","PMCONO, PMFACI, PMPRNO, PMSTRT, PMMSEQ, PMFDAT"
MPDMAT05,nonclustered,"PMCONO, PMPRNO, PMSTRT, PMMSEQ, PMFDAT, PMFACI"
MPDMAT10,nonclustered,"PMCONO, PMFACI, PMPRNO, PMSTRT, PMOPNO, PMMSEQ, PMFDAT"
MPDMAT20,nonclustered,"PMCONO, PMFACI, PMSTRT, PMMTNO, PMPRNO, PMMSEQ, PMFDAT"
MPDMAT21,nonclustered,"PMCONO, PMFACI, PMMTNO, PMPRNO, PMSTRT, PMMSEQ, PMFDAT"
MPDMAT26,nonclustered,"PMCONO, PMSTRT, PMMTNO, PMPRNO, PMMSEQ, PMFDAT, PMFACI"
MPDMAT30,nonclustered,"PMCONO, PMFACI, PMPRNO, PMSTRT, PMMTNO, PMMSEQ, PMFDAT"
MPDMAT40,nonclustered,"PMCONO, PMSTSQ, PMFACI, PMPRNO, PMSTRT, PMMSEQ, PMFDAT"
MPDMAT60,nonclustered,"PMCONO, PMFACI, PMPRNO, PMSTRT, PMDWPO, PMMSEQ, PMFDAT"
MPDMAT90,nonclustered,"PMLMTS, PMCONO, PMFACI, PMPRNO, PMSTRT, PMMSEQ, PMFDAT"
